,0
2020-01-01,10000.0
2020-01-02,10000.0
2020-01-03,10000.0
2020-01-04,10000.0
2020-01-05,10000.0
2020-01-06,10000.0
2020-01-07,10000.0
2020-01-08,10000.0
2020-01-09,10000.0
2020-01-10,10000.0
2020-01-11,10000.0
2020-01-12,10000.0
2020-01-13,10000.0
2020-01-14,10000.0
2020-01-15,10000.0
2020-01-16,10000.0
2020-01-17,10000.0
2020-01-18,10000.0
2020-01-19,10000.0
2020-01-20,10000.0
2020-01-21,10000.0
2020-01-22,10000.0
2020-01-23,10000.0
2020-01-24,10000.0
2020-01-25,10000.0
2020-01-26,10000.0
2020-01-27,10000.0
2020-01-28,10000.0
2020-01-29,10000.0
2020-01-30,10000.0
2020-01-31,9999.99968835548
2020-02-01,10000.003428845479
2020-02-02,10000.003428845479
2020-02-03,10000.003086085719
2020-02-04,10000.002003796968
2020-02-05,10000.002003796968
2020-02-06,10000.00168239899
2020-02-07,10000.012163602807
2020-02-08,10000.012568247515
2020-02-09,10000.018100283824
2020-02-10,10000.013249217609
2020-02-11,10000.02510574757
2020-02-12,10000.024808331254
2020-02-13,10000.026820282825
2020-02-14,10000.036994649125
2020-02-15,10000.036735461925
2020-02-16,10000.033321155748
2020-02-17,10000.033321155748
2020-02-18,10000.033321155748
2020-02-19,10000.033321155748
2020-02-20,10000.033321155748
2020-02-21,10000.033321155748
2020-02-22,10000.033321155748
2020-02-23,10000.033321155748
2020-02-24,10000.033321155748
2020-02-25,10000.033321155748
2020-02-26,10000.033321155748
2020-02-27,10000.033321155748
2020-02-28,10000.033321155748
2020-02-29,10000.033321155748
2020-03-01,10000.033321155748
2020-03-02,10000.033321155748
2020-03-03,10000.033321155748
2020-03-04,10000.033321155748
2020-03-05,10000.033321155748
2020-03-06,10000.033321155748
2020-03-07,10000.033321155748
2020-03-08,10000.033321155748
2020-03-09,10000.033104705662
2020-03-10,10000.033730545616
2020-03-11,10000.033730545616
2020-03-12,10000.033730545616
2020-03-13,10000.033462839896
2020-03-14,10000.046418600066
2020-03-15,10000.046418600066
2020-03-16,10000.046418600066
2020-03-17,10000.046418600066
2020-03-18,10000.046418600066
2020-03-19,10000.046418600066
2020-03-20,10000.046418600066
2020-03-21,10000.046418600066
2020-03-22,10000.046418600066
2020-03-23,10000.046418600066
2020-03-24,10000.046418600066
2020-03-25,10000.046418600066
2020-03-26,10000.046418600066
2020-03-27,10000.046418600066
2020-03-28,10000.046418600066
2020-03-29,10000.046418600066
2020-03-30,10000.046418600066
2020-03-31,10000.046418600066
2020-04-01,10000.046418600066
2020-04-02,10000.046418600066
2020-04-03,10000.046418600066
2020-04-04,10000.046418600066
2020-04-05,10000.046418600066
2020-04-06,10000.046418600066
2020-04-07,10000.046145781222
2020-04-08,10000.054178934175
2020-04-09,10000.054178934175
2020-04-10,10000.054178934175
2020-04-11,10000.054178934175
2020-04-12,10000.054178934175
2020-04-13,10000.054178934175
2020-04-14,10000.054178934175
2020-04-15,10000.054178934175
2020-04-16,10000.054178934175
2020-04-17,10000.054178934175
2020-04-18,10000.054178934175
2020-04-19,10000.053941168067
2020-04-20,10000.045570974238
2020-04-21,10000.045570974238
