,0
2021-01-25,1000000.0
2021-01-26,1007694.0327677877
2021-01-27,990211.5585400072
2021-01-28,1102837.955424827
2021-01-29,1116203.6961752484
2021-01-30,1150535.2777721155
2021-01-31,1160964.425509914
2021-02-01,1189632.304818877
2021-02-02,1217007.7647390368
2021-02-03,1217376.3848804745
2021-02-04,1246492.7521179456
2021-02-05,1332566.417735826
2021-02-06,1312525.9322431388
2021-02-07,1340840.5660265412
2021-02-08,1427500.1564354743
2021-02-09,1508714.1205545568
2021-02-10,1605304.0274851907
2021-02-11,1644900.6251745003
2021-02-12,1711632.3939124797
2021-02-13,1762688.8173381418
2021-02-14,1727719.829890721
2021-02-15,1716262.3933301552
2021-02-16,1725183.028546971
2021-02-17,1774814.9485538972
2021-02-18,1802670.418368541
2021-02-19,1905426.1681969094
2021-02-20,1887341.0463688055
2021-02-21,1918290.9334564614
2021-02-22,1832020.051751161
2021-02-23,1739495.895505734
2021-02-24,1778814.4351368325
2021-02-25,1753426.1302460646
2021-02-26,1761622.0152494363
2021-02-27,1765613.9810780284
2021-02-28,1773013.2381306973
2021-03-01,1768299.31083824
2021-03-02,1758613.613463823
2021-03-03,1746392.4383171883
2021-03-04,1750968.2537684413
2021-03-05,1748811.2508004834
2021-03-06,1741366.1987485571
2021-03-07,1729709.8653933872
2021-03-08,1728431.69323418
2021-03-09,1747263.3508994314
2021-03-10,1737102.5909547575
2021-03-11,1754612.4408483803
2021-03-12,1740532.1288191068
2021-03-13,1799315.3456696921
2021-03-14,1780721.014772515
2021-03-15,1761338.9030423048
2021-03-16,1790469.7005408006
2021-03-17,1855434.7954890218
2021-03-18,1817189.5806547313
2021-03-19,1931932.0821483182
2021-03-20,1861628.9641813552
2021-03-21,1904393.8556932635
2021-03-22,1790200.2255451484
2021-03-23,1758011.5021065548
2021-03-24,1651545.833054009
2021-03-25,1643424.3055807534
2021-03-26,1792589.4706898867
2021-03-27,1832835.1086068782
2021-03-28,1856586.3835143803
2021-03-29,1947935.2141911252
2021-03-30,1984552.757864898
2021-03-31,2005112.3721491906
2021-04-01,2092115.1263331857
2021-04-02,2197111.6158403535
2021-04-03,2105860.5247241315
2021-04-04,2241303.7883445267
2021-04-05,2405108.542488423
2021-04-06,2584170.451114863
2021-04-07,2381855.1804320277
2021-04-08,2552766.768921285
2021-04-09,2573125.4531660248
2021-04-10,2704773.3978797765
2021-04-11,2836031.774404693
2021-04-12,2854141.302469454
2021-04-13,3124811.3471544236
2021-04-14,3362149.819030818
2021-04-15,3656771.9704636615
2021-04-16,3790029.0420139097
2021-04-17,3676492.6938186516
2021-04-18,3476539.387454756
2021-04-19,3404507.3624784425
2021-04-20,3486969.9744529286
2021-04-21,3442389.937648009
2021-04-22,3421350.879251252
2021-04-23,3406581.2937507825
2021-04-24,3396837.638449296
2021-04-25,3417388.110062034
2021-04-26,3289980.615873758
2021-04-27,3203588.871647463
2021-04-28,3226865.371393323
2021-04-29,3216650.6185057666
2021-04-30,3167678.9920443795
2021-05-01,3166277.162624952
2021-05-02,3176767.106169523
2021-05-03,3216847.8234919207
2021-05-04,3163011.985445869
2021-05-05,3392185.1152711557
2021-05-06,3416095.519057746
2021-05-07,3413324.932587753
2021-05-08,3463264.765715764
2021-05-09,3534708.748322909
2021-05-10,3392258.714329479
2021-05-11,3507556.934753926
2021-05-12,3227430.7605148386
2021-05-13,3368111.480945553
2021-05-14,3590158.6362494295
2021-05-15,3476720.2928555086
2021-05-16,3505219.6780364616
2021-05-17,3408938.9212703775
2021-05-18,3543448.0335227954
2021-05-19,3135038.504775531
2021-05-20,3224267.322974774
2021-05-21,3305456.2249595765
2021-05-22,3350652.411929726
2021-05-23,3412904.0189637593
