,0
2022-02-13,1000000.0
2022-02-13,1000000.0
2022-02-14,1000490.0289411903
2022-02-15,1026571.1783734479
2022-02-16,1021214.160847526
2022-02-17,969690.1855440923
2022-02-18,959543.5338937541
2022-02-19,965855.5043923
2022-02-20,933338.303658987
2022-02-21,920328.7025224635
2022-02-22,925244.1741179179
2022-02-23,922954.0648416037
2022-02-24,924005.4070482565
2022-02-25,928038.8852825897
2022-02-26,927779.3087730333
2022-02-27,924731.8801787876
2022-02-28,926792.826187915
2022-03-01,926881.9657039037
2022-03-02,926329.5626452186
2022-03-03,926329.5626452186
2022-03-04,926329.5626452186
2022-03-05,926329.5626452186
2022-03-06,926329.5626452186
2022-03-07,926329.5626452186
2022-03-08,926329.5626452186
2022-03-09,926329.5626452186
2022-03-10,924549.5900881065
2022-03-11,923952.4202278856
2022-03-12,923570.897312197
2022-03-13,922407.7347708461
2022-03-14,923126.2495561707
2022-03-15,923224.3807962332
2022-03-16,926210.8991091736
2022-03-17,925114.298720019
2022-03-18,925844.8849327619
2022-03-19,927688.9884054764
2022-03-20,924227.763390553
2022-03-21,926200.018265779
2022-03-22,929581.1580511358
2022-03-23,930435.249084013
2022-03-24,935634.395771226
2022-03-25,932039.2946674478
2022-03-26,933639.815174679
2022-03-27,950556.8122999351
2022-03-28,948088.330118568
2022-03-29,959327.8312571986
2022-03-30,965578.3720670464
2022-03-31,943609.5608703471
2022-04-01,959922.7069342074
2022-04-02,955022.7946209059
2022-04-03,971244.3175091525
2022-04-04,963664.0869765314
2022-04-05,952701.9389146314
2022-04-06,900345.3765079391
2022-04-07,909738.0825848143
2022-04-08,922634.2018328911
2022-04-09,928678.5875654882
2022-04-10,921047.8753420756
2022-04-11,878662.5003562171
2022-04-12,886090.9209982541
2022-04-13,890756.9825688213
2022-04-14,884632.9752757704
2022-04-15,886260.854160666
2022-04-16,886241.1558657017
2022-04-17,882569.4694237539
2022-04-18,883799.0881550852
2022-04-19,885210.4148106159
2022-04-20,884398.1033665112
2022-04-21,873843.9538283552
2022-04-22,873843.9538283552
2022-04-23,873510.7438901223
2022-04-24,873510.7438901223
2022-04-25,874524.6985015082
2022-04-26,872351.3866830891
2022-04-27,873633.3092810148
2022-04-28,873945.3408547125
2022-04-29,873000.588573344
2022-04-30,872007.3252434715
2022-05-01,872007.3252434715
2022-05-02,872007.3252434715
2022-05-03,872007.3252434715
2022-05-04,872007.3252434715
2022-05-05,872007.3252434715
2022-05-06,872007.3252434715
2022-05-07,872007.3252434715
2022-05-08,872007.3252434715
2022-05-09,872007.3252434715
2022-05-10,872007.3252434715
2022-05-11,872007.3252434715
2022-05-12,872007.3252434715
2022-05-13,872007.3252434715
2022-05-14,872007.3252434715
2022-05-15,872007.3252434715
2022-05-16,872007.3252434715
2022-05-17,872007.3252434715
2022-05-18,872007.3252434715
2022-05-19,872007.3252434715
2022-05-20,872007.3252434715
2022-05-21,872007.3252434715
2022-05-22,872007.3252434715
2022-05-23,872007.3252434715
2022-05-24,872007.3252434715
2022-05-25,872007.3252434715
2022-05-26,872007.3252434715
