,0
2020-12-19,1000000.0
2020-12-19,1000000.0
2020-12-20,994124.69123578
2020-12-21,958533.0198018211
2020-12-22,967721.4647927412
2020-12-23,826538.18459185
2020-12-24,897370.8405972762
2020-12-25,910788.6653695789
2020-12-26,920199.1191320347
2020-12-27,924712.1903098552
2020-12-28,973497.1050644596
2020-12-29,974288.1182233632
2020-12-30,968058.9114765169
2020-12-31,989747.1528789718
2021-01-01,971304.8388935311
2021-01-02,909558.5094739853
2021-01-03,948585.4228705496
2021-01-04,961119.9613504448
2021-01-05,975915.1307200538
2021-01-06,1059113.7937566529
2021-01-07,1034666.6401534859
2021-01-08,997724.8452807886
2021-01-09,961044.3683562161
2021-01-10,949657.4553145422
2021-01-11,907386.1479371919
2021-01-12,900805.4324298123
2021-01-13,943206.1377146167
2021-01-14,975990.7673833108
2021-01-15,979144.6899474752
2021-01-16,1020744.3156270504
2021-01-17,1030366.4856391962
2021-01-18,1035124.9986099238
2021-01-19,1022337.2866595598
2021-01-20,1032094.6199941335
2021-01-21,974641.1013822324
2021-01-22,1019290.088502487
2021-01-23,1033039.9913372353
2021-01-24,1040408.2319246152
2021-01-25,1028147.5492660167
2021-01-26,1042578.9463061085
2021-01-27,1005607.621424807
2021-01-28,1185758.631662018
2021-01-29,1199984.8894741307
2021-01-30,1171832.2574458297
2021-01-31,1165984.1575954093
2021-02-01,1190535.5164659047
2021-02-02,1219929.092617812
2021-02-03,1336507.784083388
2021-02-04,1322527.7160049225
2021-02-05,1413231.5550858742
2021-02-06,1469241.7322798804
2021-02-07,1532344.6501527345
2021-02-08,1627307.5056346057
2021-02-09,1679328.4392784175
2021-02-10,1783536.137628655
2021-02-11,1815674.4401989714
2021-02-12,1865986.7693769932
2021-02-13,1886238.8022198365
2021-02-14,1835988.4498975086
2021-02-15,1834444.7476610246
2021-02-16,1842188.7979049417
2021-02-17,1895345.3014246712
2021-02-18,1937350.7105752712
2021-02-19,2067868.4995932968
2021-02-20,1998878.9042717002
2021-02-21,2040109.783071484
2021-02-22,2068628.810379597
2021-02-23,1943498.4670186534
2021-02-24,1991870.8292169897
2021-02-25,1927813.6696749802
2021-02-26,1932810.4287586475
2021-02-27,1949645.69143936
2021-02-28,1929171.5473539305
2021-03-01,2006553.0079622916
2021-03-02,1988652.6954514612
2021-03-03,2017420.4563815568
2021-03-04,1975763.2254014027
2021-03-05,1967070.2693055097
2021-03-06,1979672.460332928
2021-03-07,2011166.4886630175
2021-03-08,2036016.122179151
2021-03-09,2135361.171784993
2021-03-10,2088590.475548528
2021-03-11,2128331.717197524
2021-03-12,2092262.5191081187
2021-03-13,2162864.521943639
2021-03-14,2075498.092675319
2021-03-15,2032299.1268507498
2021-03-16,2140050.85892024
2021-03-17,2194956.1775033497
2021-03-18,2164980.6571345543
2021-03-19,2174734.1167247114
2021-03-20,2164417.728544454
2021-03-21,2101334.772118996
2021-03-22,2018836.779394529
2021-03-23,1997430.6657704771
